name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Lithium Battery Packaging,Number of Lithium Ion Cells, ,Peso del envío,Pilas:,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop Gamer ROG Strix G, 15.6"", GeForce GTX 1650, Core i7, 16GB RAM, 512 BSSD, Numberpad, G531GT-AL249T
                    
                

                
                    
                    
                
            ","$28,999.00",,,Asus,,Asus,G531GT-AL249T,,,,15.6 inches,,Intel,Core i7 8750H,4.5 GHz,16 GB,DDR4,,32 GB,,Tarjeta multimedia integrada,,,GeForce GTX 1650,GDDR5,,PCI-E,,1,2,Ninguno,Windows 10,1 kilowatt_hours,Baterías dentro del paquete del equipo,1, ,5.8 Kg,"1 Litio Ion necesaria(s), incluida(s)",,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo COMLEN8320 Laptop IdeaPad S145-14IKB Core i3-7020U, 8 GB, 14 Pulgadas, Windows 10 Home, 1 TB
                    
                

                
                    
                    
                
            ","$10,999.00",,4 calificaciones,Lenovo,4.5 de 5 estrellas,Lenovo,COMLEN8320,,,,14 inches,,Intel,Core i3 Family,2.3,1 TB,DRAM,SODIMM,8 GB,1 TB,Flash Memory Solid State,Serial ATA-600,,Integrated,DDR DRAM,,Integrado,,1,1,None,Windows 10 Home,,,, ,2.2 Kg,,,1 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook 15.6"", Radeon Vega 8, Ryzen 5, 8GB RAM, 1TB HDD, Azul, X512DA-BR052T
                    
                

                
                    
                    
                
            ","$12,999.00",,,Asus,,Asus,X512DA-BR052T,,,,15.6 inches,,AMD,Ryzen 5 3500U,3.6 GHz,8 GB,DDR4,,12 GB,1 TB,Disco duro mecánico,Serial ATA,AMD Radeon RX Vega 8,Integrada,DDR DRAM,,Integrado,,1,2,Ninguno,Windows 10,1 kilowatt_hours,Baterías dentro del paquete del equipo,1, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Hyundai Laptop Thinnote, Full HD Windows 10 Home (Pentium, Plateado)
                    
                

                
                    
                    
                
            ","$5,499.00"," $6,699.00",6 calificaciones,Hyundai,2.6 de 5 estrellas,Hyundai,,Plateado,,,14.1 inches,,Intel,Pentium N4200,1.10 GHz,4 GB,,DDR3 SDRAM,,32 GB,,Solid State,,,,,,,,,,Windows 10 Home,,,, ,2 Kg,,,13 de marzo de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook 15.6"", Core i7,  8GB RAM, 512GB SSD + 32GB Optane, X512FA-BR1412T
                    
                

                
                    
                    
                
            ","$17,999.00"," $19,999.00",,Asus,,Asus,X512FA-BR1412T,,,,15.6 inches,,Intel,Core i7-10510U,1.8 GHz,8 GB,DDR4,,12 GB,8 GB,Unidad híbrida,PCIE x 4,,Integrada,DDR4 SDRAM,8 GB,Integrado,,2,2,Ninguno,Windows 10,1 kilowatt_hours,Baterías integradas en el equipo,1, ,2.5 Kg,"1 Litio Ion necesaria(s), incluida(s)",,10 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Dell Laptop Latitude 3400 Intel Core I5 8265 8 GB de Ram 1 TB DD con Win 10 Pro
                    
                

                
                    
                    
                
            ","$18,800.00",,2 calificaciones,Dell,5.0 de 5 estrellas,Dell,,,,,14 inches,,Intel,Core i5 8250U,1.60 GHz,8 GB,,DDR DRAM,,1 TB,,Solid State,,,,,,,,,,Windows XP Professional Edition,42 watt_hours,Baterías integradas en el equipo,1, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",,16 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Chromebook Spin 15 Convertible Laptop Intel Pentium N4200, Pantalla táctil Full HD de 15,6"", 4 GB LPDDR4, 32 GB eMMC, Wi-Fi 802.11ac, Google Chrome, CP315-1H-P8QY, Plateado
                    
                

                
                    
                    
                
            ","$11,110.49",,,Acer,,Acer,CP315-1H-P8QY,Plateado,20 millimeters,26.2 centimeter,15.6 inches,1920 x 1080 (Full HD),Intel,Pentium,1.10 GHz,4 GB,"DDR, LPDDR4",DDR SDRAM,4 GB,32 GB,,Solid State,,Integrated,Shared,,Integrado,802.11a/b/g/n/ac,,,No Optical Drive,Chrome OS,4670 milliamp_hours,Baterías integradas en el equipo,3, ,2.9 Kg,"1 Polímero de litio necesaria(s), incluida(s)",CP315-1H-P8QY,14 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire E 15, Intel Core 8º generación,
                    
                

                
                    
                    
                
            ","$14,599.00",,"1,511 calificaciones",Acer,4.1 de 5 estrellas,Acer,,Obsidian Black,30 millimeters,25.9 centimeter,15.6 inches,,Intel,Intel Core i5,1.6 GHz,8 GB,,DDR SDRAM,32 GB,256 GB,,,MX150,Dedicated,GDDR5,,Integrado,802.11ac,1,,DVD-RW,Windows 10,28 watt_hours,Baterías integradas en el equipo,6, ,3.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",E5-576G-5762,5 de marzo de 2018
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad (81VS0001US)  - Laptop 14"" AMD A6-9220E 4GB(RAM)  64GB (Memoria Flash) Radeon R4, Wiondows 10
                    
                

                
                    
                    
                
            ","$8,090.00",,110 calificaciones,Lenovo,3.5 de 5 estrellas,Lenovo,81VS0001US,gris,8.1 centimeter,47 centimeter,14 inches,1366x768,AMD,A6-5200,1.8 GHz,4 GB,SO-DIMM,,4 GB,32 GB,Memoria flash de estado sólido,ATA-5,AMD Radeon R4,Integrada,DDR4 SDRAM,,Integrado,802.11ac,,2,Ninguno,Windows 10,2 watt_hours,Baterías integradas en el equipo,2, ,2.1 Kg,"1 A necesaria(s), incluida(s)",81VS0001US,11 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        MSI GF63 Thin 9SC-403MX 15.6"" 60Hz FHD Gaming Laptop, Intel Core i5-9300H, 8GB RAM, GTX1650 Max Q 4GB, 1TB HDD, 128GB SSD, Win10 Home
                    
                

                
                    
                    
                
            ","$26,549.24"," $27,998.99",36 calificaciones,MSI,4.3 de 5 estrellas,MSI,GF63,Negro,25.4 centimeter,22 millimeters,15.6 inches,,Intel,Intel Core i5,2.4 GHz,8 GB,,,64 GB,,,,,,,,,802.11ac,,1,,Windows 10,51 watt_hours,Baterías dentro del paquete del equipo,3, ,3.5 Kg,"1 Polímero de litio necesaria(s), incluida(s)",GF63 Thin 9SC-403MX,1 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)
                    
                

                
                    
                    
                
            ","$6,106.49",,"3,186 calificaciones",Asus,4.1 de 5 estrellas,Asus,Chromebook,N3060 | 16G | Ruggedized,20.1 centimeter,23 millimeters,11.6 inches,1366 x 768 pixels,Intel,Intel Celeron,1.6 GHz,4 GB,LPDDR3-SDRAM,DDR3L-1600 SDRAM,8 GB,16 GB,,Solid State,Intel HD Graphics,integrated,Shared,,Integrado,802.11ac,,,No Optical Drive,Chrome,38 watt_hours,Baterías integradas en el equipo,2, ,1.8 Kg,"1 Lithium Metal necesaria(s), incluida(s)",C202SA-YS02,23 de marzo de 2016
"
                
                    
                    
                

                
                    
                    
                        Acer Laptop, Pantalla de 15.6"", Intel  Core i5_8250u 1.6GHz, 8GB RAM, 1TB HDD, Bluetooth+ Wi-Fi, Windows 10, Negro (A515-51-52NC)
                    
                

                
                    
                    
                
            ","$14,499.00",,21 calificaciones,Acer,4.2 de 5 estrellas,Acer,COMACR7520,Negro,31 centimeter,7 centimeter,15.6 inches,,Intel,Intel Core i5,2.8 GHz,8 GB,,,256 GB,1000 GB,,,,,,,Integrado,802.11b/g,,2,None,Windows 10,48 watt_hours,Baterías dentro del paquete del equipo,4, ,3 Kg,"1 Litio Ion necesaria(s), incluida(s)",COMACR7520,1 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Notebook IdeaPad S340-15IIL Ci7 12 GB RAM, 1T
                    
                

                
                    
                    
                
            ","$18,999.00"," $21,999.00",,Lenovo,,Lenovo,Ideapad S340,Negro,18 millimeters,24.5 centimeter,15 inches,,,,,12 GB,,,,,,,,,,,,,,,,,30 watt_hours,Baterías integradas en el equipo,1, ,2.4 Kg,"1 Litio Ion necesaria(s), incluida(s)",S340-15IIL,19 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop IdeaPad L340-15API 15.6"", AMD RYZEN 3, RAM 8GB,2TB HDD Black
                    
                

                
                    
                    
                
            ","$11,499.00",,,Lenovo,,Lenovo,Ideapad L340-15API,Violeta Obscuro,23 millimeters,36.3 centimeter,15.6 inches,,,,,8 GB,DDR4,DDR4 SDRAM,,,,,,,,,,,,,,,4 kilowatt_hours,Baterías integradas en el equipo,4, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",L340-15API,5 de febrero de 2020
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-10210U, 8GB DDR4, 256GB PCIe NVMe SSD, Intel Wi-Fi 6 AX201 802.11ax, Fingerprint Reader, Backlit KB, A515-54-59W2
                    
                

                
                    
                    
                
            ","$16,519.81",,77 calificaciones,Acer,3.9 de 5 estrellas,Acer,A515-54-59W2,Silver,18 millimeters,25 centimeter,15.6 inches,,Intel,Intel Core i5,4.2 GHz,8 GB,DDR4,DDR4 SDRAM,20 GB,256 GB,,Solid State,Intel UHD Graphics 620,Integrated,Shared,,Integrado,802.11ax,1,,No Optical Drive,Windows 10 Home,3220 milliamp_hours,Baterías integradas en el equipo,4, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",A515-54-59W2,5 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Chromebook 15 CB3-532-C42P Negro 39.6 cm (15.6"") 1366 x 768 Pixeles 1.6 GHz Intel® Celeron® N3060 - Ordenador portátil (Intel® Celeron®, 1.6 GHz, 39.6 cm (15.6""), 1366 x 768 Pixeles, 4 GB, 16 GB)
                    
                

                
                    
                    
                
            ","$7,164.93",,107 calificaciones,Acer,4.0 de 5 estrellas,Acer,CB3-532-C42P,Negro,24 millimeters,25.6 centimeter,15.6 inches,1366 x 768 Pixeles,Intel,Intel Celeron,1.6 GHz,4 GB,LPDDR3-SDRAM,DDR3 SDRAM,4 GB,16 GB,SSD,eSATA,Intel HD Graphics 400,No disponible,Shared,,Integrado,Bluetooth,,,No,Chrome OS,56 watt_hours,Baterías integradas en el equipo,3, ,2.7 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",CB3-532-C42P,26 de mayo de 2017
"
                
                    
                    
                

                
                    
                    
                        Acer Spin 3 Convertible Laptop, 14"" Full HD IPS Touch, 8th Gen Intel Core i7-8565U, 16GB DDR4, 512GB PCIe NVMe SSD, Backlit KB, Fingerprint Reader, Rechargeable Active Stylus, SP314-53N-77AJ
                    
                

                
                    
                    
                
            ","$22,758.75",,741 calificaciones,Acer,4.4 de 5 estrellas,Acer,SP314-53N-77AJ,,20 millimeters,23.9 centimeter,14 inches,,Intel,,,16 GB,DDR4,,16 GB,512 GB,,Solid State,Intel UHD Graphics 620,Integrated,Shared,,Integrado,802.11ac,1,,None,Windows 10 Home,4515 milliamp_hours,Baterías integradas en el equipo,3, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",SP314-53N-77AJ,22 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus TUF Thin & Light Gaming Laptop PC (FX504), 8th Gen Intel Core i7 | GTX 1050 Ti 4GB, Black Matter Edition
                    
                

                
                    
                    
                
            ","$24,399.00",,504 calificaciones,Asus,4.2 de 5 estrellas,Asus,FX504GE-ES72,Negro,25 millimeters,26.2 centimeter,15.6 inches,1920 x 1080 Pixeles,Intel,,2.2 GHz,8 GB,DDR4-SDRAM,DDR4 SDRAM,32 GB,256 GB,,Serial ATA-600,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,GDDR5,,PCI-E,802.11a/b/g/n/ac,1,,No,Windows 10 Home,48 watt_hours,Baterías integradas en el equipo,4, ,3.5 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",FX504GE-ES72,8 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Dell Latitude E7470 - Laptop 14""  Intel Core-i5, 8GB (RAM), 256GB SSD, Wiondows 10 (Renewed)
                    
                

                
                    
                    
                
            ",,,5 calificaciones,Amazon Renewed,4.6 de 5 estrellas,Dell,Latitude E7470,,19 millimeters,23.2 centimeter,14 inches,1366 x 768,Intel,Core i5 6200U,2.4 GHz,8 GB,SDRAM,DDR3 SDRAM,8 GB,256 GB,Memoria flash de estado sólido,Serial ATA,Intel HD Graphics 520,Integrada,Shared,,Integrado,802.11ac,,3,Ninguno,Windows 10,,,, ,2.5 Kg,,DELL,12 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus 2019 VivoBook F510QA 15.6 Inch FHD Laptop Computer (AMD Quad Core A12-9720P up to 3.6 GHz, 16GB RAM, 256GB SSD, AMD Radeon R7, Bluetooth, WiFi, HDMI, Windows 10)
                    
                

                
                    
                    
                
            ","$17,399.00",,,Asus,,Asus,Asus,,20 millimeters,24.4 centimeter,15.6 inches,1920 x 1080,AMD,AMD A Series,2.70 GHz,16 GB,DDR4,DDR4 SDRAM,,256 GB,,Serial ATA,AMD Radeon R7,amd_radeon_r7,,,,Bluetooth,,,,Windows 10,,,, ,2.6 Kg,,Asus,3 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Laptop Aspire Core I3 8th Gen 4 GB Ram 1 TB 15.6"" Rococo Red
                    
                

                
                    
                    
                
            ","$9,909.00",,,Acer,,Acer,,,,,15.6 inches,,Intel,Core i3 8130U,2.20 GHz,4 GB,"SO-DIMM, DDR4",GDDR4,,1 TB,,Serial ATA,Intel UHD Graphics 620,,,,,,,,,Windows,,,, ,2 Kg,,,6 de febrero de 2020
"
                
                    
                    
                

                
                    
                    
                        Acer Chromebook 3.5GHz computadora Negro PC, Chromebook, Blanco, 4GB RAM, 32GB
                    
                

                
                    
                    
                
            ","$7,890.13",,"2,148 calificaciones",Acer,4.3 de 5 estrellas,Acer,CB5-132T,Blanco,19 millimeters,29.4 centimeter,11.6 inches,,Intel,Intel Celeron,1.6 GHz,4 GB,DDR3 SDRAM,,4 GB,32 GB,Solid State Drive,,Intel HD Graphics,intel_hd,,,Integrado,802.11ac,1,,,Chrome OS,32 watt_hours,Baterías integradas en el equipo,6, ,2 Kg,"1 Litio-metal necesaria(s), incluida(s)",CB5-132T-C1LK,5 de agosto de 2016
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 7490, Pantalla 14”, Procesador Core i7 10a. Gen., 8GB RAM , 256 SSD, Win 10, Color Plata (I7490_i78256SW10s_520)
                    
                

                
                    
                    
                
            ","$27,999.00",,2 calificaciones,Dell,5.0 de 5 estrellas,Dell,Inspiron Notebooks,,7 millimeters,32 centimeter,14 inches,,Intel,Intel Core i7,4.9 GHz,8 GB,,,16 GB,,,,,,,,,802.11ac,,,,Windows 10,52 watt_hours,Baterías integradas en el equipo,4, ,1.8 Kg,"1 Litio Ion necesaria(s), incluida(s)",I7490_i78256SW10s_520,23 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Laptop, Pantalla de 13.3, Procesador Intel Core i5-1035G1 10ª generación a 3.6 GHz, 8 GB RAM, 256 GB SSD +16 GB Memoria Intel Optane, Windows 10 (13-an1011)
                    
                

                
                    
                    
                
            ","$11,999.00"," $14,999.00",5 calificaciones,HP,4.5 de 5 estrellas,HP,HP Pavilion Laptop 13-an1011la,,15 millimeters,31 centimeter,13.3 inches,,Intel,None,3.6 GHz,8 GB,DDR4,,8 GB,,Memoria flash de estado sólido,,,intel_iris,WRAM,,Integrado,802.11g,1,3,No,Windows 10,,,, ,1.8 Kg,,13-an1011,3 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL ALIENWARE M15 15.6"", GEFORCE RTX 2080,  CORE i7 8 Gen. RAM 16GB, 1TB DD + 256SSD PLATA (A15OR_i716125680W10s_120)
                    
                

                
                    
                    
                
            ","$69,999.01",,,Alienware,,Alienware,Alienware m15,,10 millimeters,36.3 centimeter,15.6 inches,,Intel,Intel Core i7,4.1 GHz,16 GB,,,16 GB,1000 GB,,,NVIDIA GeForce RTX 2080,,,,,802.11ac,,,,Windows 10,60 watt_hours,Baterías integradas en el equipo,3, ,4.9 Kg,"1 Litio Ion necesaria(s), incluida(s)",A15OR_i716125680W10s_120,25 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo 81N5001GLM Notebook_Computer,Bluetooth+ Wi-Fi,15.6inches,Intel Core_i3 2.1GHz,4GB,DDR3,1000GB,Windows 10,Negro
                    
                

                
                    
                    
                
            ",," $13,999.00",2 calificaciones,Lenovo,5.0 de 5 estrellas,Lenovo,ideaPad C340-15IWL,Negro,25 centimeter,20 millimeters,15.6 inches,,Intel,Intel Core i3,2.1 GHz,4 GB,DDR3,DDR4 SDRAM,16 GB,1000 GB,,,,,,,Integrado,802.11bgn,,2,None,Windows 10,5 watt_hours,Baterías integradas en el equipo,3, ,2.9 Kg,"1 Polímero de litio necesaria(s), incluida(s)",81N5001GLM,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop Gaming Legion Y740-15IRH 17.3"", NVIDIA GEFORCE RTX 2070_TI, Intel Core i7, RAM 32GB, 512GB SSD + 1TB HDD Negro
                    
                

                
                    
                    
                
            ","$53,999.00"," $59,999.00",4 calificaciones,Lenovo,3.3 de 5 estrellas,Lenovo,Legion,Negro,30.5 centimeter,22 millimeters,17.3 inches,,Intel,Intel Core i7,2.6 GHz,32 GB,DDR3,DDR4 SDRAM,32 GB,1000 GB,,,NVIDIA GeForce RTX 2070,,,,PCI,802.11bgn,,1,None,Windows 10,5 watt_hours,Baterías integradas en el equipo,3, ,5.4 Kg,"1 Polímero de litio necesaria(s), incluida(s)",Legion Y740-17IRHg,26 de agosto de 2019
